Sales,Profits,Discounts
9.94,3.0814,0
103.056,24.4758,0.2
59.808,19.4376,0.2
73.32,21.996,0
146.82,73.41,0
1652.94,231.4116,0
296.37,80.0199,0
129.92,21.112,0.2
45.584,5.1282,0.2
17.568,6.3684,0.2
55.992,5.5992,0.2
182.72,84.0512,0
400.032,-153.3456,0.4
33.63,10.089,0
542.646,102.4998,0.1
6.3,3.024,0
242.94,9.7176,0
179.97,86.3856,0
99.696,33.6474,0.2
27.936,9.4284,0.2
84.98,18.6956,0
18.72,6.552,0.2
49.98,8.4966,0
11.784,4.2717,0.2
272.736,-64.7748,0.2
3.54,-5.487,0.8
51.52,-10.948,0.2
3.528,1.1466,0.2
4.624,1.6762,0.2
55.168,6.2064,0.2
567.12,-28.356,0.2
359.32,7.1864,0
11.992,0.8994,0.2
58.05,26.703,0
157.74,56.7864,0
56.98,22.792,0
2.88,1.4112,&%$0
1199.976,374.9925,0.2
79.92,28.7712,0
383.438,-167.3184,0.45
24.56,6.8768,0
119.8,47.92,0
13.128,4.2666,0.2
22.72,10.224,0
58.32,27.9936,0
12.39,5.6994,0
107.982,-26.9955,0.4
11.36,5.3392,0
50.94,25.47,0
646.74,258.696,0
5.64,2.7072,0
572.58,34.3548,0
310.88,23.316,0.2
641.96,179.7488,0
18.28,9.14,0
207,51.75,0
32.35,16.175,0
7.71,3.4695,0
40.3,10.881,0
34.58,,0
32.76,3.6855,0.2
544.008,40.8006,0.2
59.94,28.1718,0
23.92,11.7208,0
4.28,1.926,0
32.07,-22.449,0.7
24,-2.7,0.2
35.49,-15.6156,0.5
47.984,0.5998,0.2
186.69,87.7443,0
17.456,5.8914,0.2
348.928,34.8928,0.2
143.96,69.1008,0
15.42,4.1634,0
43.04,21.0896,0
332.94,79.9056,0
1363.96,85.2475,0.2
9.96,4.5816,0
21.72,10.6428,0
20.16,9.8784,0
132.79,63.7392,0
12.96,6.2208,0
21.56,10.3488,0
,17.745,0.2
22.23,7.3359,0
215.968,18.8972,0.2
355.32,99.4896,0
12.96,6.2208,0
18.28,6.2152,0
43.176,4.3176,0.2
1983.968,247.996,0.2
28.4,11.076,0
149.97,50.9898,0
11.52,3.2256,0
1298.55,311.652,0
213.92,62.0368,0
25.78,2.578,0
18.28,6.2152,0
1399.93,601.9699,0
51.84,24.8832,0
5.344,1.8704,0.2
41.472,14.5152,0.2
3.168,-2.4288,0.7
1228.465,0,0.3
31.086,%-22*#7964,0.7
335.52,117.432,0.2
239.97,71.991,0
9.82,4.8118,0
67.8,4.068,0
167.97,40.3128,0
35,16.8,0
37.24,10.7996,0
15.28,7.4872,0
301.96,90.588,0
180.66,50.5848,0
191.98,51.8346,0
65.99,17.1574,0
35.216,2.6412,0.2
23.696,6.5164,0.2
265.475,-111.4995,0.5
51.184,-79.3352,0.8
9.664,3.2616,0.2
21.072,1.5804,0.2
60.45,16.3215,0
11.52,3.3408,0
186.048,9.3024,0.2
37.44,11.7,0.2
26.976,8.7672,0.2
11.36,3.2944,0
14.62,6.8714,0
83.72,23.4416,0
287.94,77.7438,0
48.896,8.5568,0.2
115.36,49.6048,0
5.16,1.3416,0
38.88,18.6624,0
185.88,50.1876,0
44.46,14.6718,0
242.94,9.7176,0
39.96,18.7812,0
102.3,26.598,0
21.36,5.7672,0
7.61,3.5767,0
7.16,3.58,0
7.36,0.1472,0
23.1,10.626,0
191.472,40.6878,0.2
5.248,0.5904,0.2
59.184,5.1786,0.2
2.89,1.3583,0
51.94,21.2954,0
15.936,5.1792,0.2
44.91,-35.928,0.7
,-760.98,0.7
280.782,-46.797,0.4
34.44,17.22,0
11.36,5.2256,0
106.344,,0.2
192.16,67.256,0.2
322.59,64.518,0
29.99,13.1956,0
371.97,66.9546,0
5.892,-4.1244,0.7
68.472,23.1093,0.2
1242.9,262.39,0.1
30.84,8.3268,0
13.48,5.9312,0
31.4,10.048,0
17.46,5.9364,0
13.944,4.5318,0.2
83.76,1.6752,0
37.66,18.4534,0
34.68,16.9932,0
149.95,14.995,0
51.312,18.6006,/$0.2
4.54,2.043,0
15.92,5.4128,0
543.92,135.98,0
155.82,42.0714,0
70.008,24.5028,0.2
15.648,5.0856,0.2
103.6,51.8,0
46.96,22.5408,0
8.904,-6.5296,0.7
10.44,3.393,0.2
18.336,-32.088,0.8
323.976,20.2485,0.2
20.04,9.6192,0
64.96,2.5984,0
12.96,6.2208,0
323.136,12.1176,0.2
90.93,2.7279,0
52.776,19.791,0.2
1199.8,323.946,0
1928.78,829.3754,0
352.38,81.0474,0
22.2,9.102,0
46.94,19.2454,0
143.73,56.0547,0
99.918,-18.5562,0.3
797.944,-56.996,0.3
8.568,-14.5656,0@.8
149.352,50.4063,0.2
12.992,-0.812,0.2
24.56,6.8768,0
85.14,34.9*#07%4,0
21.99,10.5552,0
406.6,113.848,0
841.568,294.5488,0.2
15.552,5.4432,0.2
,53.55,0.2
46.2,12.936,0
28.84,9.5172,0
14.592,2.5536,0.2
89.856,21.3408,0.2
13.872,5.0286,0.2
12.192,4.1148,0.2
45.056,15.2064,0.2
29.718,-21.7932,0.7
15.552,,0.2
447.696,33.5772,0.2
159.99,54.3966,0
12.96,6.2208,0
134.48,34.9648,0
17.12,8.0464,0
6.096,2.2098,0.2
1114.272,41.7852,0.2
32.4,15.552,0
540.57,140.5482,0
167.76,62.91,0.2
393.165,-204.4458,0.5
516.488,-12.9122,0.2
1007.232,75.5424,0.2
2065.32,-619.596,0.4@#*$
15.552,5.4432,0.2
25.344,7.92,0.2
25.472,7.6416,0.2
27.168,2.7168,0.2
78.8528,-11.596,0.3&*$2
173.8,43.45,0
29.592,2.5893,0.2
4.752,-3.168,0.7
15.552,5.6376,0.2
204.6,53.196,0
321.568,28.1372,0.2
6.24,3.0576,0
21.88,10.94,0
4.608,1.6704,0.2
9.82,4.8118,0
35.97,9.7119,0
12.96,6.2208,0
191.6,91.968,0
8.64,4.2336,0
501.81,0,0
127.104,28.5984,0.2
124.2,-31.05,0.4
18.588,-13.6312,0.7
30.072,10.1493,0.2
160.93,3.2186,0
75.792,25.5798,0.2
1.08,-0.792,0.7
3059.982,679.996,0.1
3.282,-2.6256,0.7
34.02,16.6698,0
599.292,93.2232,0.1
3.392,0.8056,0.2
559.984,55.9984,0.2
603.92,75.49,0.2
7.968,2.5896,0.2
27.968,9.4392,0.2
336.51,44.868,0.4
1.112,-1.8904,0.8
520.05,72.807,0
17.97,5.2113,0
1166.92,131.2785,0.2
14.624,5.484,0.2
10.23,4.9104,0
154.9,69.705,0
2715.93,1276.4871,0
617.97,173.0316,0
10.67,4.9082,0
36.63,9.8901,0
24.1,9.158,0
,12.9129,0
44.02,11.4452,0
2309.65,762.1845,0
1090.782,-290.8752,0.4
19.44,9.3312,0
484.65,92.0835,0
115.296,,0.2
7.08,2.478,0.2
4.401,-3.5208,0.7
44.75,20.585,0
95.984,5.999,0.2
151.72,27.3096,0
155.25,46.575,0
14.03,4.0687,0
1618.37,356.0414,0
99.6,36.852,0
32.4,15.552,0
13.96,6.7008,0
155.82,63.8862,
124.95,2.499,
601.65,156.429,0
22.74,8.8686,0
1267.53,316.8825,0
1379.92,648.5624,0
6.208,2.1728,0.2
11.808,4.2804,
15.552,5.4432,0.2
63.312,20.5764,0.2
15.588,-9.8724,0.4
177.2,83.284,0
197.97,57.4113,0
854.94,213.735,0
124.11,52.1262,0
14.4,7.056,0
15.696,5.1012,0.2
2.628,-1.9272,0.7
14.427,-10.5798,0.7
86.62,8.662,0
36.624,13.734,0.2
23.968,2.6964,0.%$2
28.728,1.7955,0.2
697.16,146.4036,0
31.86,11.151,0
722.352,90.294,0.2
8.84,2.9835,0.2
58.464,-146.16,0.8
254.604,-18.186,0.3
1363.96,85.2475,0.2
102.36,-3.8385,0.2
1113.504,125.2692,0.2
99.99,37.9962,0
168.464,-29.4812,0.2
6.72,2.436,0.2
282.888,56.5776,0.2
11.16,4.3524,0
108.4,22.764,0
82.344,27.7911,0.2
9.088,3.2944,0.2
19.936,7.2268,0.2
65.568,22.9488,0.2
4.416,1.6008,0.2
107.772,-29.2524,0.3
45.216,4.5216,0.2
10.416,-2.2134,0.2
7.872,1.2792,0.2
118.782,-27.7158,0.4
1.448,0.2353,0.2
55.47,-46.225,0.7
194.848,12.178,0.2
1.744,-0.3488,0.2
25.176,-18.4624,0.7
19.46,5.0596,0
29.472,9.9468,0.2
8.64,3.024,0.2
,-4.598,0.7
4.368,-3.3488,0.7
31.984,1.999,0.2
40.88,10.6288,0
119.96,33.5888,0
31.44,8.4888,0
6.88,2.322,0.2
19.92,9.3624,0
1106.91,121.7601,0
836.592,-264.9208,0.4
26.38,12.1348,0
362.92,105.2468,0
4899.93,2400.9657,0
6.48,3.1104,0
71.976,7.1976,0.2
3.15,1.512,0
31.984,1.999,0.2
71.984,25.1944,&0$.2
120.15,33.642,0
219.184,19.1786,0.2
28.9,14.161,0
355.96,103.2284,0
348.208,30.4682,0.2
35.784,-28.6272,0.7
447.84,11.196,0.2
7.04,2.0416,0
8.73,4.1031,0
29.29,9.6657,0
8.64,2.5056,0
2.694,-4.7145,0.8
2.934,-4.9878,0.8
22.92,11.2308,0
100.704,-16.3644,0.2
2.328,-0.7566,0.6
10.78,-17.248,0.8
58.368,21.888,0.2
40.968,13.8267,0.2
71.96,25.186,0.2
10.368,3.6288,0.2
1.192,-2.0264,0.8
46.672,16.3352,0.2
119.833,-12.6882,0.15
119.98,57.5904,0
6.3,3.024,0
279.9,137.151,0
619.95,111.591,0
4.36,2.0492,0
15.28,7.4872,0
699.93,181.9818,0
22.96,6.6584,0
38.6,11.58,0
6.63,1.7901,0
23.34,10.9698,0
1067.94,224.2674,0
10.16,2.6416,0
101.88,50.94,0
343.92,75.6624,0
40.99,20.0851,0
63.9,28.755,0
19.44,9.3312,0
124.608,-23.364,0.2
7.56,2.646,0.2
85.224,7.4571,0.2
287.52,129.384,0
37.68,10.5504,0
19.98,8.991,0
20.58,5.5566,0
17.38,8.69,0
204.6,53.196,0
8.72,2.8776,0
6.48,3.1104,0
686.32,223.054,0.2
62.18,16.7886,0
644.076,107.346,0.1
5.84,2.628,0
12.76,5.8696,0
10.95,0.438,0
599.98,209.993,0
8.352,1.2528,0.2
3.64,1.638,0
159.768,53.9217,0.2
122.48,0,0
2244.48,493.7856,0
62.31,29.2857,0
455.1,100.122,0
195.184,19.5184,0.2
362.94,90.735,0
11.54,5.77,0
53.94,15.6426,0
9.99,4.5954,0
125.76,40.872,0.2
25.32,9.1785,0.2
46.8,21.06,0
447.93,49.2723,0
109.48,33.9388,0
272.94,0,0
19.44,9.3312,0
31.92,8.2992,0
22.38,10.7424,0
