click,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,month,dayofweek,day,hour
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,71c93712,0bcabeaf,1,3,21191,320,50,2424,1,161,100189,71,10,1,28,13
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,51cedd4e,aefc06bd,0f2161f8,a99f214a,526e4268,6c15a39b,1,0,18648,320,50,1092,3,1835,100156,61,10,1,21,14
TRUE,1005,0,85f751fd,c4e18dd6,50e219e0,a4869716,2347f47a,d1327cf5,a99f214a,34d10e41,33c9c797,1,2,375,320,50,112,3,1319,-1,15,10,4,24,11
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f6671049,f87e93a5,1,0,15704,320,50,1722,0,35,-1,79,10,4,24,4
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,eb161cdb,981edffc,1,3,21191,320,50,2424,1,161,100189,71,10,4,24,10
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,d1b126bb,4.75E+99,09481d60,936e92fb,111fe8fa,a264bba3,1,0,787,320,50,153,0,169,100094,20,10,6,26,10
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,2374aa8e,d9b5648e,0f2161f8,a99f214a,2.57E+57,f4fffcd0,1,0,23691,320,50,2713,3,169,100241,91,10,2,29,11
TRUE,1005,1,57ef2c87,bd6d812f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4388fabb,be6db1d7,1,0,19950,320,50,1800,3,167,100081,23,10,4,24,12
FALSE,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6f30b91a,feacaaee,1,0,17614,320,50,1993,2,1063,-1,33,10,1,28,1
FALSE,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0cbd1b35,6e1e2240,1,0,19950,320,50,1800,3,167,-1,23,10,5,25,20
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,67b43785,e2919daa,be6db1d7,1,0,4687,320,50,423,2,39,100148,32,10,0,27,1
TRUE,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,63a8e89f,be6db1d7,1,0,4687,320,50,423,2,39,100148,32,10,6,26,6
FALSE,1005,1,b7e9786d,b12b9f85,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8f040776,9bf61ad2,1,0,19771,320,50,2227,0,935,100077,48,10,0,27,18
TRUE,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,40e8f623,76dc4769,1,0,21412,320,50,2467,2,167,100075,23,10,0,27,3
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,fe0fb568,8a4875bd,1,0,15707,320,50,1722,0,35,-1,79,10,1,21,2
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3fc48039,8a4875bd,1,0,22257,320,50,2545,0,39,100083,221,10,4,24,8
FALSE,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f0496218,2cd8ff6d,1,0,17747,320,50,1974,2,39,-1,33,10,0,27,23
TRUE,1005,0,4bf5bbe2,6b560cc1,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,df722b9e,6bfbb32f,1,0,20346,300,250,2331,2,39,-1,23,10,6,26,11
FALSE,1005,0,9e8cf15d,0d3cb7be,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d3c7f33f,ad0177e7,1,0,22265,320,50,2523,0,39,-1,221,10,4,24,8
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,fb7c70a3,d9b5648e,0f2161f8,5f3bf685,232f5046,b4b19c97,1,0,14265,320,50,1526,2,169,100111,35,10,2,22,10
TRUE,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a0997a17,c2b847c7,d4897fef,1,0,6559,320,50,571,2,39,-1,32,10,1,21,17
FALSE,1005,1,ba9aee1b,9eaf88fa,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2ad0702a,5ec45883,1,0,19771,320,50,2227,0,935,100079,48,10,3,30,8
FALSE,1002,0,85f751fd,c4e18dd6,50e219e0,255a58c8,7801e8d9,07d7df22,7571d332,6d4a9518,5490809,0,0,21247,320,50,2439,3,169,100111,91,10,2,29,22
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ceffea69,1f0bc64f,1,0,22677,320,50,2617,0,35,-1,51,10,1,28,1
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,572bdf2f,af7fe221,1,0,20277,320,50,2281,3,47,100182,42,10,6,26,13
TRUE,1005,0,6c5b482c,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,22716c74,84ebbcd4,1,0,17654,300,250,1994,2,39,-1,33,10,2,29,10
FALSE,1005,0,4e7614cf,c1aa3c04,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7e7efabb,8a4875bd,1,0,24036,320,50,2755,0,303,-1,76,10,3,30,14
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,da7390fc,2347f47a,0f2161f8,a99f214a,210099b5,058e0eb7,1,0,21746,320,50,2504,3,41,100160,111,10,1,21,18
FALSE,1005,0,6c5b482c,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,86e1aced,44801bc1,1,0,17654,300,250,1994,2,39,100084,33,10,1,28,13
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,51cedd4e,aefc06bd,0f2161f8,a99f214a,4a7acf4c,542422a7,1,0,22324,320,50,2576,1,161,100193,71,10,5,25,10
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,73206397,2347f47a,8ded1f7a,ba192861,72970097,64fdf136,1,0,23144,320,50,2665,0,35,100034,221,10,2,29,4
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,10a71ecd,0bcabeaf,1,3,21189,320,50,2424,1,175,100193,71,10,2,29,15
FALSE,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,01da9202,fce66524,1,0,4687,320,50,423,2,39,100148,32,10,0,27,19
FALSE,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b7858f43,43836a96,1,0,17264,320,50,1872,3,39,-1,23,10,0,27,18
FALSE,1002,0,df7971d4,ace5b8fd,50e219e0,ecad2386,7801e8d9,07d7df22,247fc134,a2badb3a,4.04E+178,0,0,17566,320,50,479,3,39,100077,23,10,6,26,4
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b1b9b0dc,4ea23a13,1,0,15705,320,50,1722,0,35,-1,79,10,2,22,12
FALSE,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,36911fb4,84ebbcd4,1,0,19998,216,36,2281,3,47,100181,42,10,1,21,18
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,2a34457c,2347f47a,dc97ec06,44e2bc71,c8e22e3c,60f13afb,1,0,22614,300,250,2610,3,167,100194,23,10,3,30,0
FALSE,1005,0,2a68aa20,9b851bd8,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,036a93fc,1df52df3,1,0,20633,320,50,2374,3,39,-1,23,10,3,23,1
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3418beff,36d749e5,1,0,15701,320,50,1722,0,35,-1,79,10,4,24,4
FALSE,1005,1,5e0f8522,1e33d94d,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4a74e4dc,36d749e5,1,0,15703,320,50,1722,0,35,-1,79,10,5,25,5
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,ce183bbd,ae637522,cef3e649,a99f214a,54d2ad64,36b67a2a,1,0,22514,320,50,2597,1,167,100003,71,10,6,26,14
TRUE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ceffea69,49ea3580,1,0,15708,320,50,1722,0,35,-1,79,10,1,21,18
FALSE,1002,0,2e402bc9,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,d6ae9abd,fa2cfcfd,a9b05547,0,0,17081,320,50,1921,3,47,100075,23,10,0,27,17
FALSE,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,af62faf4,c3f7117b,1,0,22267,320,50,2566,3,47,100156,42,10,0,27,15
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,a99f214a,40f4b795,7abbbd5c,1,0,21715,320,50,2500,2,34,-1,90,10,1,21,13
FALSE,1005,0,14a5a57a,94142e6d,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,2880a9f1,6e1e2240,1,0,13779,320,50,1447,2,47,100075,13,10,4,24,17
FALSE,1005,1,57fe1b20,5b626596,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bdb8762e,8a4875bd,1,0,16208,320,50,1800,3,167,-1,23,10,5,25,9
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,cbcd4269,84ebbcd4,1,0,4687,320,50,423,2,39,100148,32,10,2,29,7
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,229d5ba7,0989142d,1,0,15703,320,50,1722,0,35,-1,79,10,2,29,18
FALSE,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,80e83e87,8a4875bd,1,0,16208,320,50,1800,3,167,100081,23,10,1,28,14
TRUE,1002,0,c54454a2,ed1f409d,50e219e0,ecad2386,7801e8d9,07d7df22,c9500fcb,8.94E+11,13367cc6,0,0,17081,320,50,1921,3,47,100075,23,10,2,22,20
FALSE,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,cc1589f8,7abbbd5c,1,0,19950,320,50,1800,3,167,100074,23,10,6,26,13
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,d7094548,aad45b01,1,0,20508,320,50,2351,3,163,-1,61,10,3,23,13
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,665b89a4,2ea4f8ba,1,0,21611,320,50,2480,3,297,100111,61,10,6,26,5
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,f0d41ff1,2347f47a,0f2161f8,a99f214a,289dba4b,c40cc546,1,0,19776,320,50,2229,0,687,100031,48,10,3,23,3
FALSE,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d90a7774,3bb1ddd7,1,0,23626,320,50,2707,3,937,100156,61,10,3,30,21
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,57cd4006,711ee120,1,0,22106,320,50,2545,0,167,-1,221,10,1,28,17
FALSE,1005,0,cd58172f,b9c4ab81,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,af3112ba,05b9fa1b,1,0,23722,320,50,2716,3,47,-1,23,10,3,30,21
FALSE,1005,0,a8c88b36,3fa3aa64,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8caf0e72,59b64f8d,1,0,20006,320,50,2283,0,163,100076,95,10,3,30,12
FALSE,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e15443ad,88fe1d5d,1,0,19772,320,50,2227,0,687,100074,48,10,1,21,2
FALSE,1005,0,2a68aa20,9b851bd8,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,59b0aa2c,158e4944,1,0,16615,320,50,1863,3,39,-1,23,10,2,22,7
TRUE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,8597ef1d,8a4875bd,1,0,15707,320,50,1722,0,35,100084,79,10,5,25,7
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,0acbeaa3,45a51db4,f95efa07,a99f214a,8e8a9c9c,24f6b932,1,0,16615,320,50,1863,3,39,-1,23,10,5,25,12
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,2c7f4017,99e427c9,1,0,21611,320,50,2480,3,297,100111,61,10,5,25,23
FALSE,1002,0,45e91bcc,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,0f499ca9,04dbae38,c3c3ffee,0,0,23438,320,50,2684,2,1327,100190,52,10,2,29,20
FALSE,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a4a9fb6f,86030d43,1,0,19772,320,50,2227,0,679,100075,48,10,6,26,6
FALSE,1005,0,d6137915,bb1ef334,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,adf5161c,8a4875bd,1,0,20008,320,50,2283,0,163,-1,95,10,2,22,3
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7e123d69,a0f5f879,1,0,20108,320,50,2299,2,1327,100084,52,10,0,27,9
TRUE,1005,1,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6ebdecdf,36d749e5,1,0,17753,320,50,1993,2,1063,-1,33,10,1,21,0
FALSE,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b8708bd6,00b1f3a7,1,0,21682,320,50,2496,3,167,100072,23,10,4,24,15
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,90dc724d,c144e605,1,0,15703,320,50,1722,0,35,-1,79,10,1,21,3
FALSE,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,930ec31d,3bb1ddd7,1,0,23371,320,50,2680,3,815,100156,42,10,1,28,15
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,39f895a6,981edffc,1,3,21191,320,50,2424,1,161,100189,71,10,2,29,23
FALSE,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,07fc23a7,70e51edb,1,0,21878,320,50,2526,0,35,-1,221,10,2,22,9
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,8c7320ba,27466962,1,0,21724,320,50,2502,0,39,-1,221,10,4,24,8
FALSE,1005,0,4e7614cf,c1aa3c04,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2fe407ba,8a4875bd,1,0,23989,320,50,2747,0,35,100077,76,10,3,30,12
FALSE,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9b4b3c20,fa61e8fe,1,0,4687,320,50,423,2,39,100148,32,10,5,25,15
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,4b08f369,2347f47a,0f2161f8,a99f214a,bde97d23,0dedddc5,1,2,21768,320,50,2506,0,35,-1,157,10,2,22,10
FALSE,1005,1,ba9aee1b,9eaf88fa,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a8bbc28d,be6db1d7,1,0,21878,320,50,2526,0,35,100075,221,10,3,23,1
FALSE,1005,0,12fb4121,6b59f079,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ee6778f4,8a6685fe,1,0,16615,320,50,1863,3,39,-1,23,10,0,27,12
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,13353656,2347f47a,0f2161f8,d4396cb7,9fc87b5c,c6263d8a,1,3,15699,320,50,1722,0,35,-1,79,10,2,22,11
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,685d1c4c,2347f47a,8ded1f7a,a99f214a,a7a775ad,6afc734f,1,3,23737,320,50,2676,0,299,100176,221,10,3,30,16
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,98fed791,d9b5648e,0f2161f8,a99f214a,5712620d,0135c685,1,0,20980,320,50,2371,0,551,100217,46,10,1,21,16
FALSE,1005,0,2a68aa20,9b851bd8,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,f1dba2bf,84ebbcd4,1,0,23728,320,50,2717,2,35,-1,23,10,2,29,7
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,fa5bb387,2347f47a,0f2161f8,c8ae2edf,4c4ffd3b,8d96a23d,1,2,23725,320,50,2716,3,43,-1,23,10,2,29,14
TRUE,1002,0,acc6cd52,a53257d3,50e219e0,ecad2386,7801e8d9,07d7df22,a99f214a,e01292f5,c978d6f5,0,0,23438,320,50,2684,2,1327,100173,52,10,3,30,12
FALSE,1010,1,85f751fd,c4e18dd6,50e219e0,03a08c3f,7801e8d9,0f2161f8,6d670576,ebc61958,f07e20f8,4,3,15702,320,50,1722,0,35,-1,79,10,6,26,6
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,407ed8bf,4ea23a13,1,0,15701,320,50,1722,0,35,100084,79,10,6,26,22
FALSE,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3b09c687,76dc4769,1,0,19950,320,50,1800,3,167,100075,23,10,0,27,3
FALSE,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8690b9d5,fa61e8fe,1,0,21687,320,50,2495,2,167,-1,23,10,3,30,17
FALSE,1005,1,85f751fd,c4e18dd6,50e219e0,d644e4e7,2347f47a,0f2161f8,a99f214a,7edbbd82,e4a6a646,1,0,20632,320,50,2374,3,39,100155,23,10,1,28,16
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7db95993,a0f5f879,1,0,22254,320,50,2545,0,167,100084,221,10,2,29,2
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,77f05a6c,2ea4f8ba,1,0,19743,320,50,2264,3,427,100000,61,10,1,28,23
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,f53417e1,0e8616ad,0f2161f8,a99f214a,a41e4866,3520c226,1,2,23804,320,50,2726,3,803,-1,229,10,3,30,5
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,1d64ced5,2347f47a,8ded1f7a,26ab63ff,11c2cf11,2891f384,1,3,21862,320,50,2524,0,35,100084,221,10,1,28,8
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,74e2d19b,78d9bd10,1,0,15706,320,50,1722,0,35,-1,79,10,4,24,20
TRUE,1005,0,5bcf81a2,9d54950b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6097e9d4,63350c8a,1,0,20999,320,50,2369,0,809,100111,46,10,3,23,22
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,87e17bdd,05e70df4,1,0,21853,216,36,2524,0,35,-1,221,10,2,22,15
FALSE,1002,0,85f751fd,c4e18dd6,50e219e0,4e02fbd3,7801e8d9,07d7df22,5d284d32,8.78E+07,5490809,0,0,22366,320,50,2580,0,171,100094,108,10,5,25,15
FALSE,1010,1,85f751fd,c4e18dd6,50e219e0,03a08c3f,7801e8d9,0f2161f8,6ef4be40,2d7b5acc,d8337869,5,3,15699,320,50,1722,0,35,-1,79,10,3,23,10
TRUE,1002,0,5a2f1ae6,104a0432,50e219e0,ecad2386,7801e8d9,07d7df22,22ea442e,23680bb5,e6b89ee7,0,0,15908,320,50,1752,3,297,100081,82,10,5,25,2
FALSE,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,431b3174,78d9bd10,1,0,15701,320,50,1722,0,35,-1,79,10,2,29,10
FALSE,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3061678a,8a4875bd,1,0,15706,320,50,1722,0,35,-1,79,10,3,30,14
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,0fcee644,e1eae715,1,2,21189,320,50,2424,1,175,100189,71,10,2,29,15
FALSE,1005,0,fec6e632,ace5b8fd,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,32827b28,d4897fef,1,0,17239,320,50,1973,3,39,-1,23,10,4,24,4
FALSE,1005,0,85f751fd,c4e18dd6,50e219e0,e96773f0,2347f47a,0f2161f8,a99f214a,6a016346,8013ea41,1,0,21767,320,50,2506,0,35,-1,157,10,2,22,11
