Sr. No.,Antecedent,Consequent,Confidence
203,['cooking oil'],['milk'],0.22454308093994776
204,['milk'],['mineral water'],0.3703703703703704
205,['mineral water'],['milk'],0.20134228187919462
206,['milk'],['french fries'],0.18312757201646093
207,['french fries'],['milk'],0.1388455538221529
208,['ground beef'],['milk'],0.22388059701492538
209,['milk'],['ground beef'],0.1697530864197531
210,['cake'],['milk'],0.16447368421052633
211,['milk'],['cake'],0.10288065843621401
212,['milk'],['olive oil'],0.13168724279835392
213,['olive oil'],['milk'],0.2591093117408907
214,['turkey'],['milk'],0.18123667377398722
215,['chicken'],['eggs'],0.24
216,['cooking oil'],['eggs'],0.2297650130548303
217,['mineral water'],['eggs'],0.21364653243847875
218,['eggs'],['mineral water'],0.28338278931750743
219,['eggs'],['french fries'],0.20252225519287834
220,['french fries'],['eggs'],0.21294851794071765
221,['ground beef'],['eggs'],0.20352781546811397
222,['eggs'],['ground beef'],0.11127596439169138
223,['cake'],['eggs'],0.23519736842105263
224,['eggs'],['cake'],0.10608308605341245
225,['herb & pepper'],['eggs'],0.25336927223719674
226,['olive oil'],['eggs'],0.18218623481781376
227,['eggs'],['turkey'],0.10830860534124628
228,['turkey'],['eggs'],0.31130063965884863
229,['salmon'],['mineral water'],0.4012539184952978
230,['fresh bread'],['mineral water'],0.30959752321981426
231,['red wine'],['mineral water'],0.38862559241706157
232,['chicken'],['mineral water'],0.38000000000000006
233,['chicken'],['french fries'],0.18444444444444444
234,['cooking oil'],['mineral water'],0.3942558746736292
235,['grated cheese'],['mineral water'],0.3333333333333333
236,['mineral water'],['french fries'],0.14149888143176736
237,['french fries'],['mineral water'],0.19734789391575666
238,['ground beef'],['mineral water'],0.41655359565807326
239,['mineral water'],['ground beef'],0.17170022371364654
240,['cake'],['mineral water'],0.33881578947368424
241,['mineral water'],['cake'],0.11521252796420582
242,['herb & pepper'],['mineral water'],0.34501347708894875
243,['olive oil'],['mineral water'],0.4190283400809717
244,['mineral water'],['olive oil'],0.11577181208053693
245,['cereals'],['mineral water'],0.3989637305699482
246,['turkey'],['mineral water'],0.3070362473347548
247,['grated cheese'],['french fries'],0.19847328244274812
248,['ground beef'],['grated cheese'],0.1153324287652646
249,['grated cheese'],['ground beef'],0.2162849872773537
250,['ground beef'],['french fries'],0.14111261872455902
251,['cake'],['french fries'],0.22039473684210528
252,['french fries'],['cake'],0.1045241809672387
253,['turkey'],['french fries'],0.1705756929637527
254,['ground beef'],['herb & pepper'],0.1628222523744912
255,['herb & pepper'],['ground beef'],0.3234501347708895
256,['ground beef'],['olive oil'],0.14382632293080055
257,['olive oil'],['ground beef'],0.2145748987854251
258,['pancakes'],"['spaghetti', 'mineral water']",0.12061711079943899
259,"['spaghetti', 'pancakes']",['mineral water'],0.455026455026455
260,"['spaghetti', 'mineral water']",['pancakes'],0.1919642857142857
261,"['pancakes', 'mineral water']",['spaghetti'],0.33992094861660077
262,"['spaghetti', 'mineral water']",['frozen vegetables'],0.20089285714285715
263,['frozen vegetables'],"['spaghetti', 'mineral water']",0.12587412587412586
264,"['spaghetti', 'frozen vegetables']",['mineral water'],0.43062200956937796
265,"['frozen vegetables', 'mineral water']",['spaghetti'],0.33582089552238803
266,"['spaghetti', 'milk']",['chocolate'],0.3082706766917293
267,"['spaghetti', 'chocolate']",['milk'],0.2789115646258503
268,"['milk', 'chocolate']",['spaghetti'],0.34024896265560167
269,"['spaghetti', 'eggs']",['chocolate'],0.28832116788321166
270,"['spaghetti', 'chocolate']",['eggs'],0.26870748299319724
271,"['eggs', 'chocolate']",['spaghetti'],0.3172690763052209
272,"['spaghetti', 'mineral water']",['chocolate'],0.265625
273,"['spaghetti', 'chocolate']",['mineral water'],0.40476190476190477
274,"['mineral water', 'chocolate']",['spaghetti'],0.3012658227848101
275,['milk'],"['spaghetti', 'mineral water']",0.12139917695473253
276,"['spaghetti', 'milk']",['mineral water'],0.44360902255639095
277,"['spaghetti', 'mineral water']",['milk'],0.26339285714285715
278,"['milk', 'mineral water']",['spaghetti'],0.3277777777777778
279,"['spaghetti', 'mineral water']",['eggs'],0.23883928571428573
280,"['spaghetti', 'eggs']",['mineral water'],0.3905109489051095
281,"['eggs', 'mineral water']",['spaghetti'],0.2801047120418848
282,"['spaghetti', 'mineral water']",['french fries'],0.16964285714285715
283,"['spaghetti', 'french fries']",['mineral water'],0.36714975845410625
284,"['mineral water', 'french fries']",['spaghetti'],0.30039525691699603
285,['ground beef'],"['spaghetti', 'mineral water']",0.17367706919945725
286,"['spaghetti', 'ground beef']",['mineral water'],0.4353741496598639
287,"['spaghetti', 'mineral water']",['ground beef'],0.2857142857142857
288,"['ground beef', 'mineral water']",['spaghetti'],0.41693811074918563
289,['olive oil'],"['spaghetti', 'mineral water']",0.15587044534412955
290,"['spaghetti', 'olive oil']",['mineral water'],0.4476744186046512
291,"['spaghetti', 'mineral water']",['olive oil'],0.171875
292,"['olive oil', 'mineral water']",['spaghetti'],0.3719806763285024
293,"['milk', 'mineral water']",['frozen vegetables'],0.23055555555555557
294,['frozen vegetables'],"['milk', 'mineral water']",0.11608391608391608
295,"['frozen vegetables', 'mineral water']",['milk'],0.3097014925373134
296,"['milk', 'frozen vegetables']",['mineral water'],0.46892655367231634
297,['milk'],"['mineral water', 'chocolate']",0.1080246913580247
298,"['milk', 'mineral water']",['chocolate'],0.2916666666666667
299,"['milk', 'chocolate']",['mineral water'],0.43568464730290457
300,"['mineral water', 'chocolate']",['milk'],0.26582278481012656
301,"['eggs', 'mineral water']",['chocolate'],0.2643979057591623
302,"['mineral water', 'chocolate']",['eggs'],0.25569620253164554
303,"['eggs', 'chocolate']",['mineral water'],0.40562248995983935
304,['ground beef'],"['mineral water', 'chocolate']",0.1112618724559023
305,"['ground beef', 'mineral water']",['chocolate'],0.267100977198697
306,"['ground beef', 'chocolate']",['mineral water'],0.47398843930635837
307,"['mineral water', 'chocolate']",['ground beef'],0.20759493670886073
308,['milk'],"['eggs', 'mineral water']",0.10082304526748971
309,"['milk', 'mineral water']",['eggs'],0.27222222222222225
310,"['eggs', 'mineral water']",['milk'],0.25654450261780104
311,"['milk', 'eggs']",['mineral water'],0.42424242424242425
312,['ground beef'],"['milk', 'mineral water']",0.11261872455902307
313,"['ground beef', 'milk']",['mineral water'],0.503030303030303
314,"['ground beef', 'mineral water']",['milk'],0.2703583061889251
315,"['milk', 'mineral water']",['ground beef'],0.23055555555555557
316,['ground beef'],"['eggs', 'mineral water']",0.10312075983717775
317,"['ground beef', 'mineral water']",['eggs'],0.247557003257329
318,"['ground beef', 'eggs']",['mineral water'],0.5066666666666667
319,"['eggs', 'mineral water']",['ground beef'],0.19895287958115182
